Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1712178544.4695342,-112.79296875,-995.1171875,-530.2734375,-79.58984375,0.0,none
1712178544.4734287,-119.62890625,-982.91015625,-607.421875,-82.03125,0.0,none
1712178544.477323,-147.4609375,-825.68359375,-317.3828125,-135.25390625,0.0,none
1712178544.4812176,-141.11328125,-527.83203125,-270.01953125,-133.30078125,0.0,none
1712178544.485112,-136.71875,-740.234375,-361.81640625,-102.05078125,0.0,none
1712178544.4890065,-148.4375,-751.46484375,-271.97265625,-104.00390625,0.0,none
1712178544.493005,-150.87890625,-377.44140625,-195.3125,-130.859375,0.0,none
1712178544.4968994,-133.30078125,-478.02734375,-311.03515625,-128.90625,0.0,none
1712178544.500794,-137.20703125,-679.6875,-309.5703125,-110.3515625,0.0,none
1712178544.5046885,-157.71484375,-380.859375,-136.23046875,-110.83984375,0.0,none
1712178544.5085828,-149.90234375,-292.96875,-209.47265625,-111.81640625,0.0,none
1712178544.5124774,-126.953125,-758.30078125,-401.85546875,-114.74609375,0.0,none
1712178544.5163717,-116.69921875,-935.05859375,-403.3203125,-87.890625,0.0,none
1712178544.5202663,-147.94921875,-490.72265625,-164.0625,-94.7265625,0.0,none
1712178544.5241606,-166.9921875,-25.390625,-43.9453125,-125.9765625,0.0,none
1712178544.5280552,-140.13671875,-320.80078125,-249.0234375,-119.140625,0.0,none
1712178544.5319495,-129.39453125,-788.57421875,-375.9765625,-110.3515625,0.0,none
1712178544.535844,-158.203125,-375.9765625,-145.5078125,-114.74609375,0.0,none
1712178544.5398338,-170.8984375,44.43359375,-25.390625,-124.0234375,0.0,none
1712178544.5437284,-141.6015625,-388.18359375,-249.0234375,-121.09375,0.0,none
1712178544.5476227,-132.32421875,-656.25,-354.00390625,-121.58203125,0.0,none
1712178544.5515172,-153.3203125,-166.9921875,-129.8828125,-122.0703125,0.0,none
1712178544.5554118,-162.59765625,-80.078125,-112.3046875,-120.1171875,0.0,none
1712178544.5593061,-137.6953125,-631.8359375,-445.80078125,-116.2109375,0.0,none
1712178544.5632007,-124.0234375,-980.46875,-616.69921875,-120.1171875,0.0,none
1712178544.5670953,-157.71484375,-687.01171875,-274.90234375,-143.06640625,0.0,none
1712178544.5709896,-172.36328125,-222.16796875,-123.046875,-140.13671875,0.0,none
1712178544.5748842,-157.2265625,-401.3671875,-274.4140625,-132.32421875,0.0,none
1712178544.5787785,-148.4375,-463.8671875,-243.65234375,-142.578125,0.0,none
1712178544.582673,-146.97265625,-45.41015625,-128.90625,-140.13671875,0.0,none
1712178544.586744,-144.53125,-67.3828125,-204.1015625,-116.2109375,0.0,none
1712178544.5906386,-146.97265625,-414.0625,-302.734375,-120.1171875,0.0,none
1712178544.5945332,-152.34375,-373.046875,-266.11328125,-142.08984375,0.0,none
1712178544.5984278,-157.71484375,-123.53515625,-227.5390625,-136.23046875,0.0,none
1712178544.602322,-156.73828125,-173.828125,-214.84375,-120.1171875,0.0,none
1712178544.6062167,-157.71484375,-652.34375,-322.75390625,-129.8828125,0.0,none
1712178544.6101112,-171.875,-741.69921875,-308.10546875,-160.64453125,0.0,none
1712178544.6140058,-168.45703125,-250.48828125,-191.40625,-170.8984375,0.0,none
1712178544.6179001,-160.64453125,-345.21484375,-300.29296875,-147.4609375,0.0,none
1712178544.6217947,-177.734375,-577.1484375,-333.0078125,-137.6953125,0.0,none
1712178544.6256893,-189.94140625,-226.07421875,-196.77734375,-160.64453125,0.0,none
1712178544.6295838,-174.31640625,-46.38671875,-166.9921875,-172.8515625,0.0,none
1712178544.6336508,-152.83203125,-454.58984375,-379.8828125,-140.625,0.0,none
1712178544.6375453,-164.0625,-699.21875,-457.51953125,-128.41796875,0.0,none
1712178544.64144,-192.87109375,-218.26171875,-182.6171875,-165.52734375,0.0,none
1712178544.6453345,-178.22265625,-312.5,-258.30078125,-166.50390625,0.0,none
1712178544.649229,-157.2265625,-816.40625,-490.72265625,-132.8125,0.0,none
1712178544.6531234,-166.015625,-928.7109375,-532.2265625,-122.55859375,0.0,none
