words,fft_0.00Hz,fft_10.67Hz,fft_21.33Hz,fft_32.00Hz,fft_42.67Hz,fft_53.33Hz,fft_64.00Hz,fft_74.67Hz,fft_85.33Hz,fft_96.00Hz,fft_106.67Hz,fft_117.33Hz,fft_-128.00Hz,fft_-117.33Hz,fft_-106.67Hz,fft_-96.00Hz,fft_-85.33Hz,fft_-74.67Hz,fft_-64.00Hz,fft_-53.33Hz,fft_-42.67Hz,fft_-32.00Hz,fft_-21.33Hz,fft_-10.67Hz
foo,(541.50390625+0j),(1217.4074765256307-475.2893136130434j),(-653.372380102177-557.3207082062149j),(473.4163100552945+516.1129820582823j),(-1749.0234375-299.3876884176672j),(-351.8490946516764+5205.461211440937j),(5661.1328125+1569.82421875j),(1752.344396989247-1972.2809790800507j),(1358.88671875+193.67169674476216j),(1420.1383774447056-914.5510804417175j),(832.5715988521774-64.2613230437853j),(1169.206596136799-728.2111855920557j),(-80.56640625000011+0j),(1169.2065961367987+728.2111855920549j),(832.5715988521771+64.2613230437853j),(1420.1383774447056+914.5510804417177j),(1358.88671875-193.67169674476216j),(1752.3443969892471+1972.2809790800507j),(5661.1328125-1569.8242187499998j),(-351.8490946516763-5205.4612114409365j),(-1749.0234375+299.3876884176672j),(473.41631005529484-516.112982058282j),(-653.3723801021771+557.3207082062147j),(1217.4074765256307+475.2893136130431j)
foo,(456.54296875+0j),(299.5180923373358-412.98134130065034j),(-635.3729868372056+599.3063563989531j),(1049.8218264795134+541.0405854899759j),(-1686.767578125+92.60720870546487j),(756.0477075669968+5162.117486954949j),(5731.4453125+453.61328125j),(1305.3579739809093-2125.487984816038j),(1327.392578125-154.34534784244144j),(764.6312985204863-1109.3500395100236j),(625.6073618372061+352.35379985104686j),(1267.9824761147581-775.7664945296624j),(-294.4335937500001-2.842170943040401e-14j),(1267.982476114758+775.7664945296622j),(625.607361837206-352.35379985104686j),(764.6312985204866+1109.3500395100239j),(1327.392578125+154.34534784244144j),(1305.3579739809093+2125.4879848160385j),(5731.4453125-453.61328124999994j),(756.0477075669969-5162.117486954949j),(-1686.767578125-92.60720870546484j),(1049.8218264795137-541.0405854899757j),(-635.372986837206-599.3063563989532j),(299.5180923373357+412.98134130065006j)
foo,(-4614.74609375+0j),(-1064.1623439432144+2729.7418826152643j),(-444.19755199176774+515.5423010643733j),(-379.530869440224+1308.5686655807563j),(187.49999999999997-75.26978607110843j),(-955.1872789553136+365.6002279804751j),(-43.45703125+652.34375j),(-185.9848802707334+70.12714721701218j),(-327.1484375+164.91694700973196j),(-255.2347555597761+221.65460308075666j),(-158.34151050823226+28.403011435626638j),(-323.9623718307387+66.23058837872705j),(-142.08984374999994+0j),(-323.9623718307387-66.2305883787269j),(-158.3415105082323-28.403011435626638j),(-255.23475555977603-221.65460308075671j),(-327.1484375-164.91694700973196j),(-185.98488027073336-70.12714721701235j),(-43.45703125000001-652.34375j),(-955.1872789553136-365.600227980475j),(187.5+75.26978607110843j),(-379.530869440224-1308.5686655807565j),(-444.1975519917677-515.5423010643733j),(-1064.1623439432144-2729.741882615264j)
foo,(738.76953125+0j),(-1373.3614625497019-628.6245387638423j),(111.63608720658749+133.30078125j),(-1393.6043606214182-746.7762871930893j),(1099.609375+411.86950355763827j),(-1151.7000594629033-4871.6484675524025j),(-5998.53515625+509.765625j),(-848.2999405370967+2590.500022585351j),(-1099.609375+411.86950355763827j),(-606.395639378582+1252.2471503069105j),(-111.63608720658794+133.3007812499999j),(-626.638537450298-94.67927890159672j),(-741.69921875-2.842170943040401e-14j),(-626.6385374502981+94.67927890159683j),(-111.63608720658779-133.30078125j),(-606.3956393785818-1252.2471503069105j),(-1099.609375-411.86950355763827j),(-848.2999405370967-2590.500022585351j),(-5998.535156249999-509.7656249999999j),(-1151.700059462903+4871.6484675524025j),(1099.609375-411.86950355763827j),(-1393.604360621418+746.7762871930889j),(111.63608720658779-133.30078125j),(-1373.361462549702+628.6245387638426j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(2200.1953125+0j),(1311.7760697076615-1404.504163961035j),(-433.395812092818+327.26466389521636j),(1590.0387795889756+387.9599921075343j),(-537.5976562499999+1292.272282209592j),(5193.657461287811+2994.044229260072j),(3882.8125-4791.9921875j),(-1019.1825821066574-1481.6235036201938j),(988.76953125-1055.4684608622845j),(-61.71846708897556-646.2196953924653j),(452.92706209281846-1205.194351395216j),(-1017.5009488888159+229.36669391923078j),(1086.9140624999998-1.1368683772161603e-13j),(-1017.5009488888156-229.36669391923078j),(452.9270620928182+1205.194351395216j),(-61.71846708897556+646.2196953924652j),(988.76953125+1055.4684608622845j),(-1019.1825821066573+1481.6235036201933j),(3882.8125+4791.9921875j),(5193.65746128781-2994.044229260072j),(-537.59765625-1292.272282209592j),(1590.0387795889753-387.9599921075344j),(-433.3958120928182-327.26466389521613j),(1311.7760697076617+1404.5041639610351j)
foo,(2789.0625+0j),(2102.5423192777234-1528.423420112923j),(195.5031338214817-389.72702375336735j),(1585.0616044389744-192.2309552181182j),(-139.1601562499999+920.9977194543493j),(5227.521874975646+1679.1853648768729j),(2604.00390625-5421.38671875j),(-1646.148844346146-995.47216961716j),(808.59375-1040.2453580613862j),(-621.1944169389744-428.5590802181182j),(314.75077242851853-558.026882496632j),(-650.7122249072236+678.4606768811097j),(1637.6953125-1.1368683772161603e-13j),(-650.7122249072236-678.4606768811102j),(314.7507724285185+558.0268824966324j),(-621.1944169389741+428.5590802181184j),(808.59375+1040.2453580613862j),(-1646.1488443461458+995.47216961716j),(2604.00390625+5421.38671875j),(5227.521874975646-1679.1853648768727j),(-139.16015625-920.9977194543492j),(1585.0616044389744+192.23095521811837j),(195.50313382148153+389.7270237533675j),(2102.5423192777234+1528.4234201129227j)
foo,(-4944.3359375+0j),(-397.24692235196574+3037.5304093622344j),(-256.29783456175323+39.17077209730621j),(-261.9676113241593+1242.8182484667464j),(-42.23632812499999-301.50200825112535j),(-894.4521629244123+923.2362722792496j),(445.3125+559.5703125j),(-52.37399087948063+90.53740940949842j),(-64.208984375+21.56606230127264j),(-173.57926367584068+281.88074846674687j),(142.0400220617532-151.96374084730624j),(-417.6456738441415+49.91677223198542j),(100.58593749999999+2.842170943040401e-14j),(-417.6456738441416-49.916772231985306j),(142.0400220617532+151.9637408473062j),(-173.57926367584076-281.8807484667468j),(-64.208984375-21.56606230127264j),(-52.37399087948069-90.53740940949848j),(445.3125-559.5703125j),(-894.452162924412-923.2362722792496j),(-42.236328124999986+301.5020082511253j),(-261.9676113241592-1242.8182484667466j),(-256.29783456175323-39.17077209730621j),(-397.2469223519657-3037.5304093622344j)
foo,(163.0859375+0j),(-781.1007629731484-460.6249030453814j),(-300.33910532297523-794.6381371092866j),(-1463.0207615676177-720.4836093752164j),(-421.63085937500006-1976.0433163499422j),(-6010.042694536629-1781.5377951842606j),(-2696.2890625+5418.9453125j),(1369.930338879425+688.6480129340101j),(-1052.001953125+1060.1199644958924j),(545.0520115676175+45.141390624783185j),(-1216.262457177025+367.39204335928616j),(339.1818686303518+260.5955388363474j),(-790.0390625+2.2737367544323206e-13j),(339.18186863035226-260.59553883634743j),(-1216.2624571770248-367.3920433592864j),(545.0520115676175-45.14139062478347j),(-1052.001953125-1060.1199644958924j),(1369.9303388794249-688.64801293401j),(-2696.2890625-5418.9453125j),(-6010.042694536627+1781.5377951842606j),(-421.63085937499994+1976.043316349942j),(-1463.0207615676172+720.4836093752162j),(-300.3391053229751+794.6381371092864j),(-781.1007629731484+460.6249030453816j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
