timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1713993501.0670254,1,HELLO,119.140625,-75.1953125,-478.515625,-1000.0,0.0,0
1713993501.070884,1,HELLO,999.51171875,999.51171875,-290.52734375,-142.578125,0.0,0
1713993501.0747426,1,HELLO,-210.44921875,-71.2890625,-480.95703125,999.51171875,0.0,0
1713993501.0792933,1,HELLO,-1000.0,-1000.0,-725.09765625,198.73046875,0.0,0
1713993501.0831523,1,HELLO,-220.703125,-228.02734375,-677.24609375,-1000.0,0.0,0
1713993501.0870113,1,HELLO,999.51171875,999.51171875,-279.296875,-293.45703125,0.0,0
1713993501.0908701,1,HELLO,226.07421875,228.02734375,-381.8359375,999.51171875,0.0,0
1713993501.0947292,1,HELLO,-1000.0,-1000.0,-680.17578125,261.71875,0.0,0
1713993501.0985882,1,HELLO,-373.046875,-522.4609375,-687.5,-1000.0,0.0,0
1713993501.1024473,1,HELLO,999.51171875,999.51171875,-274.90234375,-604.00390625,0.0,0
1713993501.1063063,1,HELLO,333.49609375,432.12890625,-219.23828125,998.046875,0.0,0
1713993501.1101654,1,HELLO,-1000.0,-1000.0,-608.3984375,718.26171875,0.0,0
1713993501.1140244,1,HELLO,-912.109375,-1000.0,-753.41796875,-825.1953125,0.0,0
1713993501.1178834,1,HELLO,663.0859375,334.47265625,-505.37109375,-1000.0,0.0,0
1713993501.1217425,1,HELLO,810.546875,949.70703125,-255.859375,213.8671875,0.0,0
1713993501.1261551,1,HELLO,-751.46484375,-570.3125,-509.27734375,999.51171875,0.0,0
1713993501.1300147,1,HELLO,-1000.0,-1000.0,-764.16015625,-178.7109375,0.0,0
1713993501.133874,1,HELLO,-53.22265625,-174.8046875,-657.71484375,-1000.0,0.0,0
1713993501.1377335,1,HELLO,999.51171875,999.51171875,-187.01171875,-149.4140625,0.0,0
1713993501.1415927,1,HELLO,-90.8203125,62.01171875,-327.1484375,993.1640625,0.0,0
1713993501.145452,1,HELLO,-1000.0,-1000.0,-725.09765625,-147.4609375,0.0,0
1713993501.1493115,1,HELLO,-225.09765625,-296.875,-694.3359375,-1000.0,0.0,0
1713993501.1531708,1,HELLO,999.51171875,999.51171875,-152.34375,-364.74609375,0.0,0
1713993501.1570303,1,HELLO,245.60546875,245.1171875,-118.1640625,999.51171875,0.0,0
1713993501.1608896,1,HELLO,-1000.0,-1000.0,-699.70703125,247.0703125,0.0,0
1713993501.164749,1,HELLO,-558.59375,-761.71875,-744.62890625,-1000.0,0.0,0
1713993501.1686084,1,HELLO,999.51171875,878.90625,-300.78125,-1000.0,0.0,0
1713993501.1729856,1,HELLO,431.15234375,555.6640625,-295.8984375,424.31640625,0.0,0
1713993501.1768453,1,HELLO,-1000.0,-969.23828125,-689.94140625,632.32421875,0.0,0
1713993501.180705,1,HELLO,-1000.0,-1000.0,-747.55859375,-911.62109375,0.0,0
1713993501.1845648,1,HELLO,331.0546875,131.34765625,-485.3515625,-1000.0,0.0,0
1713993501.1884243,1,HELLO,952.63671875,999.51171875,-292.48046875,-119.140625,0.0,0
1713993501.192284,1,HELLO,-574.70703125,-373.046875,-519.04296875,890.625,0.0,0
1713993501.1961439,1,HELLO,-1000.0,-1000.0,-710.9375,-531.73828125,0.0,0
1713993501.2000036,1,HELLO,-196.2890625,-208.984375,-539.0625,-1000.0,0.0,0
1713993501.2038634,1,HELLO,999.51171875,999.51171875,-222.65625,-955.56640625,0.0,0
1713993501.207723,1,HELLO,32.71484375,172.36328125,-489.74609375,313.96484375,0.0,0
1713993501.2115827,1,HELLO,-1000.0,-1000.0,-692.87109375,-20.5078125,0.0,0
1713993501.2154424,1,HELLO,-263.18359375,-446.77734375,-650.87890625,-1000.0,0.0,0
1713993501.2197745,1,HELLO,999.51171875,999.51171875,-372.55859375,-1000.0,0.0,0
1713993501.2236345,1,HELLO,240.234375,253.90625,-410.15625,-77.1484375,0.0,0
1713993501.2274945,1,HELLO,-1000.0,-1000.0,-582.51953125,224.12109375,0.0,0
1713993501.2313545,1,HELLO,-787.109375,-948.2421875,-644.04296875,-1000.0,0.0,0
1713993501.2352145,1,HELLO,862.79296875,617.67578125,-447.75390625,-1000.0,0.0,0
1713993501.2390745,1,HELLO,543.45703125,669.921875,-328.125,-317.3828125,0.0,0
1713993501.2429347,1,HELLO,-985.3515625,-893.5546875,-530.76171875,168.45703125,0.0,0
1713993501.2467947,1,HELLO,-1000.0,-1000.0,-633.7890625,-974.12109375,0.0,0
1713993501.2506547,1,HELLO,152.83203125,-43.9453125,-613.28125,-1000.0,0.0,0
1713993501.2545147,1,HELLO,999.51171875,999.51171875,-381.34765625,-854.4921875,0.0,0
1713993501.2583747,1,HELLO,-393.06640625,-218.26171875,-505.37109375,-37.59765625,0.0,0
1713993501.2622347,1,HELLO,-1000.0,-1000.0,-712.40234375,-680.6640625,0.0,0
1713993501.266562,1,HELLO,-206.54296875,-215.8203125,-692.3828125,-1000.0,0.0,0
1713993501.2704222,1,HELLO,999.51171875,999.51171875,-375.0,-1000.0,0.0,0
1713993501.2742825,1,HELLO,143.06640625,226.07421875,-447.265625,-16.11328125,0.0,0
1713993501.278143,1,HELLO,-1000.0,-1000.0,-674.31640625,56.15234375,0.0,0
1713993501.2820032,1,HELLO,-438.4765625,-578.61328125,-703.61328125,-1000.0,0.0,0
1713993501.2858634,1,HELLO,999.51171875,999.51171875,-321.77734375,-1000.0,0.0,0
1713993501.2897236,1,HELLO,254.8828125,325.68359375,-200.68359375,57.6171875,0.0,0
1713993501.293584,1,HELLO,-1000.0,-1000.0,-543.9453125,285.15625,0.0,0
1713993501.2974443,1,HELLO,-908.203125,-1000.0,-756.8359375,-1000.0,0.0,0
